N,Total_NO,Total_BH
10,0.001680800000031013,0.0008505999940098263
10,0.0016108999989228323,0.0005614000037894584
10,0.001432199998816941,0.0006217999980435707
10,0.0015133999986574054,0.0009208000046783127
10,0.0011865000051329844,0.0006676000048173591
10,0.0010849999962374568,0.0006962999977986328
10,0.0012207999970996752,0.00045170000521466136
10,0.0012101999964215793,0.0008138000048347749
10,0.0015866000030655414,0.0006248999998206273
10,0.0017088999957195483,0.0006817000030423515
10,0.0013260999985504895,0.0006450000073527917
10,0.0015335999996750616,0.0005710999976145104
10,0.0013675000009243377,0.0006849999990663491
10,0.001411799996276386,0.0009279000005335547
10,0.0017745000004651956,0.0005597999988822266
10,0.0014139000049908645,0.0007581999961985275
10,0.001301700009207707,0.0007468000039807521
10,0.0017512000049464405,0.000633100004051812
10,0.0014953000063542277,0.0006951999966986477
10,0.0013221999979577959,0.0006428999986383133
10,0.0012309000012464821,0.0006407000037143007
10,0.0013627000007545575,0.0009864000021480024
10,0.0015652000001864508,0.0005080999981146306
10,0.0013952000081189908,0.000959699995291885
10,0.001506099994003307,0.0009874999959720299
10,0.0012915999977849424,0.0008098999969661236
10,0.0012675000034505501,0.0004490999999688938
10,0.0014557999966200441,0.0007541999948443845
10,0.001687700001639314,0.0006162999998196028
10,0.0009910000007948838,0.0006319999956758693
10,0.0016486999957123771,0.0005111999998916872
10,0.0013340000004973263,0.0008737999960430898
10,0.0013662000055774115,0.0005041999975219369
10,0.001097499996831175,0.0006896999984746799
10,0.0014723000058438629,0.0007427000018651597
10,0.0011521999986143783,0.0006959000020287931
10,0.001549400003568735,0.0009488000068813562
10,0.0013274000011733733,0.0009395999950356781
10,0.001145499998528976,0.0009452999947825447
10,0.0012456000040401705,0.0007507999980589375
10,0.0013025000007473864,0.0009903000100166537
10,0.0012303999974392354,0.0006891999946674332
10,0.0017165999961434864,0.00044489999709185213
10,0.0015277000129572116,0.0008601000008638948
10,0.0015808999960427172,0.0006933999975444749
10,0.0015622999999322928,0.0006229999999050051
10,0.0016692999997758307,0.0007475999955204315
10,0.0011864999978570268,0.0007473999939975329
10,0.0015387000021291897,0.0006812999999965541
10,0.0010237000024062581,0.0006209999992279336
20,0.011763199996494222,0.0036806999996770173
20,0.012021599999570753,0.004818900000827853
20,0.012035400002787355,0.004373600000690203
20,0.012710300012258813,0.004856200008362066
20,0.012001800001598895,0.00467380000918638
20,0.011628200001723599,0.004824900002859067
20,0.012703599997621495,0.004586499999277294
20,0.01312599999801023,0.0037174999961280264
20,0.011406400000851136,0.00446889999875566
20,0.013644800004840363,0.004101899998204317
20,0.014094700003624894,0.0045916999952169135
20,0.012315600004512817,0.0037467000001925044
20,0.011148699995828792,0.004389000001538079
20,0.01185319999785861,0.004608000002917834
20,0.01301170000078855,0.004579100001137704
20,0.013732599996728823,0.004889100004220381
20,0.012949999996635597,0.0034479000023566186
20,0.012514599999121856,0.0036639000027207658
20,0.011094000008597504,0.005012100002204534
20,0.012304099996981677,0.004451700006029569
20,0.013057099997240584,0.006500800001958851
20,0.013550399999076035,0.003711899997142609
20,0.01395780000166269,0.004489799997827504
20,0.012293199994019233,0.007017600000835955
20,0.011100099996838253,0.006038400002580602
20,0.014176500008034054,0.005273500006296672
20,0.01316259999293834,0.0047188999960781075
20,0.011538700004166458,0.0035035000037169084
20,0.013453700004902203,0.004674199997680262
20,0.012273200001800433,0.0043224999972153455
20,0.010924599999270868,0.0051228000011178665
20,0.013420299997960683,0.005108400000608526
20,0.010729699999501463,0.006663000000116881
20,0.012010799997369759,0.005580400000326335
20,0.013152200008335058,0.005075799999758601
20,0.011909200002264697,0.005378499998187181
20,0.011264400003710762,0.003809900001215283
20,0.010365500005718786,0.003327099999296479
20,0.012372999997751322,0.003981499998189975
20,0.013489599994500168,0.0049890000009327196
20,0.012978899998415727,0.006343600005493499
20,0.009391799998411443,0.004013800004031509
20,0.010871899998164736,0.005270899993774947
20,0.012682599997788202,0.004258500004652888
20,0.01256450000073528,0.0053193999992799945
20,0.0129495999935898,0.005429199998616241
20,0.012360000000626314,0.00601499999902444
20,0.014021599999978207,0.005095000000437722
20,0.012519399999291636,0.0044936999984201975
20,0.012306800002988894,0.006395399999746587
30,0.04260529999737628,0.017531199991935864
30,0.04960009999922477,0.013138700000126846
30,0.04668620000302326,0.015493899998546112
30,0.04471989999728976,0.013752399994700681
30,0.047142299998085946,0.012497999996412545
30,0.05065239999385085,0.01801770000020042
30,0.04766389999713283,0.01580679999460699
30,0.04255399999965448,0.016992500008200295
30,0.051291499999933876,0.018776600001729093
30,0.048583700008748565,0.01247710000461666
30,0.040864099995815195,0.018916799999715295
30,0.04927200000383891,0.01782449999882374
30,0.044004199997289106,0.01397490000090329
30,0.04272059999493649,0.014675500002340414
30,0.041938299997127615,0.013312399998540059
30,0.0445151000021724,0.01740589999826625
30,0.050841999996919185,0.019409699998504948
30,0.04268510000110837,0.01105900000402471
30,0.0467179000042961,0.01008890000230167
30,0.043955500004813075,0.012479199998779222
30,0.04491369999595918,0.015331000002333894
30,0.04354330000205664,0.0147586000020965
30,0.04591629999777069,0.01657879999402212
30,0.0438921000022674,0.02031360000546556
30,0.04611930000100983,0.017744299992045853
30,0.0411727000027895,0.013457200002449099
30,0.04884160000801785,0.015519199994741939
30,0.05060429999866756,0.016015799999877345
30,0.04783879999740748,0.017423600009351503
30,0.046276999994006474,0.010873899998841807
30,0.04623590000119293,0.014284099997894373
30,0.04732700000022305,0.015052000002469867
30,0.05564009999943664,0.017394100003002677
30,0.047422999996342696,0.013302500003192108
30,0.04157379999378463,0.018047400000796188
30,0.04996150000079069,0.01459630000317702
30,0.04159290000097826,0.018926600001577754
30,0.05692429999180604,0.015057699994940776
30,0.04253489999973681,0.013712599997234065
30,0.04955519999930402,0.014919599998393096
30,0.05396919999475358,0.01450749999639811
30,0.05455430000438355,0.01364109999849461
30,0.03876719999243505,0.013760599998931866
30,0.04497260000061942,0.017061099999409635
30,0.042358700004115235,0.017440399999031797
30,0.042136299998674076,0.011416999994253274
30,0.05068980000214651,0.015163999996730126
30,0.049203800001123454,0.017348100001981948
30,0.04827679999289103,0.01894670000183396
30,0.04474369999661576,0.017097700001613703
50,0.24919280000176514,0.06552410000585951
50,0.2638936000003014,0.06643289999919944
50,0.2341911000039545,0.06476780000230065
50,0.24267519999557408,0.06293469999945955
50,0.21790610000607558,0.06930740000098012
50,0.2726007000019308,0.08437319999939064
50,0.27365940000890987,0.07530740000220248
50,0.2284256999992067,0.07790750000276603
50,0.24835359999997308,0.0735830999983591
50,0.23763540000800276,0.08174080000026152
50,0.2524998999942909,0.08323610000661574
50,0.27751670000725426,0.09358330000395654
50,0.24202320000040345,0.07726600000023609
50,0.2454589999979362,0.07294769999862183
50,0.26972280001064064,0.09373810000397498
50,0.25546119999489747,0.07450049999897601
50,0.2537356999964686,0.07183230000373442
50,0.2869232999946689,0.0717439999934868
50,0.253105299998424,0.08631700000114506
50,0.24092449999443488,0.0784949000008055
50,0.2629181000083918,0.07129840000561671
50,0.2492093999971985,0.0816973999972106
50,0.2425805999955628,0.09499760000471724
50,0.25526170000375714,0.07215089999954216
50,0.24501460000465158,0.06495980000909185
50,0.23578170000109822,0.0715113000042038
50,0.2349328999989666,0.06934080000064569
50,0.24611100000038277,0.07850800000596792
50,0.23011709999263985,0.08416810000926489
50,0.23518429999967339,0.06588539999938803
50,0.22763190000114264,0.08346539999911329
50,0.24025789999723202,0.07083250000869157
50,0.21676299999671755,0.06701750000502216
50,0.24150989999907324,0.07938699999795062
50,0.2572687999927439,0.07377199999609729
50,0.2516520999997738,0.07020699999702629
50,0.25208359999669483,0.06769709999935003
50,0.24547329999768408,0.07450899999821559
50,0.266833100002259,0.09369820000574691
50,0.27240680000249995,0.09278529999573948
50,0.24831319999793777,0.08769200000097044
50,0.23757100000511855,0.08385110000381246
50,0.2552762999985134,0.08515309999347664
50,0.26920710000558756,0.07150689999980386
50,0.25487430000066524,0.07732440000836505
50,0.23736010000720853,0.0814611000023433
50,0.236881099997845,0.0796665000016219
50,0.29330409999238327,0.08457360000465997
50,0.23975790000258712,0.1475406999961706
50,0.26109319999522995,0.11285660000430653
80,1.1716956999953254,0.3195756000059191
80,1.1892430000007153,0.26649419999012025
80,1.1315838000009535,0.32129680000798544
80,1.2030702999982168,0.3743479999975534
80,1.0955228000020725,0.37903860000369605
80,1.2906102999986615,0.32891630000813166
80,1.2824200000031851,0.4055498000016087
80,1.2194951999990735,0.42900039999949513
80,1.2135198000105447,0.3384105000004638
80,1.3213568999999552,0.37302779999299673
80,1.3256411999973352,0.37258869998913724
80,1.2934962000072119,0.4596906000006129
80,1.2632241000028444,0.3912564999991446
80,1.1961161000072025,0.4088138999941293
80,1.2749706000031438,0.3158223999926122
80,1.2001153000019258,0.4208560999977635
80,1.1784637999953702,0.3595868999909726
80,1.3473663999975543,0.3168689000012819
80,1.4114351000025636,0.39963069999794243
80,1.1699352999930852,0.37080869999772403
80,1.1666878000105498,0.3439496000064537
80,1.1576261000082013,0.34658569999737665
80,1.2349230999971041,0.3290973999974085
80,1.3061413999967044,0.3699166000005789
80,1.2079201999949873,0.2972074999997858
80,1.2062075000067125,0.3575241000071401
80,1.179054799998994,0.35146769999846583
80,1.3150498000031803,0.3565158000055817
80,1.254138399999647,0.32980289999977686
80,1.2894857999999658,0.30140400000527734
80,1.2071514999915962,0.33050090000324417
80,1.3720041999986279,0.3371296999976039
80,1.292451199995412,0.3565720000042347
80,1.2055879999970784,0.30336410000018077
80,1.2656963000044925,0.30287439999665366
80,1.2597803999960888,0.3981826000017463
80,1.26580549999926,0.34886420000111684
80,1.447292099997867,0.3685992000027909
80,1.193920599995181,0.4016890999992029
80,1.2641426999980467,0.388227099996584
80,1.3414869999978691,0.4258442999998806
80,1.2182554999963031,0.328977399993164
80,1.1425581999938004,0.3515227999960189
80,1.267674499998975,0.3161316999976407
80,1.346910400003253,0.3451788000020315
80,1.284456900000805,0.32246099999611033
80,1.3507864999992307,0.3502902000036556
80,1.1950503000043682,0.4163161000033142
80,1.3551309000104084,0.35441840000567026
80,1.1828061999985948,0.32401170000230195
100,2.57016680000379,0.7977670000036596
100,2.780426699995587,0.6386265000037383
100,2.761112199994386,0.6611905999961891
100,2.565376299993659,0.8047118000031332
100,2.609628700003668,0.7499354000028688
100,2.587884100001247,0.7045725999996648
100,2.459931500001403,0.6399182999957702
100,2.637827599995944,0.8468972000046051
100,2.5748351000002003,0.7748906000051647
100,2.4069365999966976,0.6483512000049814
100,2.5955652999982703,0.6839323999956832
100,2.9268639999936568,0.7860104999999749
100,2.7452544999978272,0.6728885999982595
100,2.5869473999991897,0.7416352000072948
100,2.5120353999955114,0.7170351000022492
100,2.529282300005434,0.957755499992345
100,2.701762599994254,0.679844399994181
100,2.7986908000020776,0.8503773999982513
100,2.5847990000038408,0.550093999991077
100,2.2600075000009383,0.6345709000015631
100,2.4939946999948006,0.7498132999971858
100,2.4912602999975206,0.8111057999994955
100,2.643838100004359,0.6935496999940369
100,2.5651806999958353,0.5823675999927218
100,2.5745439999955124,0.6821014999950421
100,2.4662867999941227,0.808082600007765
100,2.5186959999991814,0.8137218999981997
100,2.471066099999007,0.6431757999962429
100,2.4242771999997785,0.7571014000059222
100,2.606427499995334,0.7270711000019219
100,2.8833067000086885,0.8620118000035291
100,2.741692299998249,0.6623174999986077
100,2.834498899996106,0.6842782000021543
100,2.5906963999950676,0.7138400999974692
100,2.4769737999959034,0.7267625000022235
100,2.574221899994882,0.8241476999974111
100,2.5737111999915214,0.7156044000003021
100,2.6639080999957514,0.6424075000031735
100,2.6890865999957896,0.7075674999941839
100,2.4909052000002703,0.7794310999961453
100,2.45005300000048,0.8035917000088375
100,2.560664299999189,0.6586000000024796
100,2.82688159999816,0.6919603999995161
100,2.6127038999984507,0.7014205000014044
100,2.607117499996093,0.6650599000058719
100,2.532230400000117,0.6587425000034273
100,2.541589800006477,0.7579720000067027
100,2.666747299997951,0.8371466000025976
100,2.5915422000034596,0.6134300000048825
100,2.6580728000044473,0.74670869998954
